fips,state,msa,msaname,compositeindex2010
12031014202,12,27260,"Jacksonville, FL Metro Area",143.930117
12031014102,12,27260,"Jacksonville, FL Metro Area",139.461805
12031001100,12,27260,"Jacksonville, FL Metro Area",131.992039
12031002501,12,27260,"Jacksonville, FL Metro Area",131.819691
12031002502,12,27260,"Jacksonville, FL Metro Area",131.163461
12031002902,12,27260,"Jacksonville, FL Metro Area",128.401882
12031001200,12,27260,"Jacksonville, FL Metro Area",127.904349
12031017200,12,27260,"Jacksonville, FL Metro Area",127.617536
12031002300,12,27260,"Jacksonville, FL Metro Area",126.711425
12031002802,12,27260,"Jacksonville, FL Metro Area",126.185009
12031017100,12,27260,"Jacksonville, FL Metro Area",125.566751
12031002101,12,27260,"Jacksonville, FL Metro Area",125.314549
12031012400,12,27260,"Jacksonville, FL Metro Area",125.025008
12031001300,12,27260,"Jacksonville, FL Metro Area",125.017708
12031014001,12,27260,"Jacksonville, FL Metro Area",123.892245
12031001000,12,27260,"Jacksonville, FL Metro Area",123.68013
12031002200,12,27260,"Jacksonville, FL Metro Area",123.463813
12031002901,12,27260,"Jacksonville, FL Metro Area",123.151855
12031015400,12,27260,"Jacksonville, FL Metro Area",122.476279
12109020300,12,27260,"Jacksonville, FL Metro Area",122.380915
12031000800,12,27260,"Jacksonville, FL Metro Area",120.392817
12031001400,12,27260,"Jacksonville, FL Metro Area",118.745874
12031001500,12,27260,"Jacksonville, FL Metro Area",117.930371
12109020400,12,27260,"Jacksonville, FL Metro Area",117.312263
12031002102,12,27260,"Jacksonville, FL Metro Area",116.390744
12109020200,12,27260,"Jacksonville, FL Metro Area",116.037483
12031011000,12,27260,"Jacksonville, FL Metro Area",115.454053
12031001600,12,27260,"Jacksonville, FL Metro Area",115.333433
12031002801,12,27260,"Jacksonville, FL Metro Area",115.091047
12089050101,12,27260,"Jacksonville, FL Metro Area",115.028053
12031000600,12,27260,"Jacksonville, FL Metro Area",114.779201
12031000300,12,27260,"Jacksonville, FL Metro Area",114.686313
12031017400,12,27260,"Jacksonville, FL Metro Area",114.118872
12031012300,12,27260,"Jacksonville, FL Metro Area",114.008115
12031002600,12,27260,"Jacksonville, FL Metro Area",113.078959
12031002400,12,27260,"Jacksonville, FL Metro Area",113.063065
12109020500,12,27260,"Jacksonville, FL Metro Area",112.041382
12031014203,12,27260,"Jacksonville, FL Metro Area",111.30668
12031000100,12,27260,"Jacksonville, FL Metro Area",111.133025
12031002702,12,27260,"Jacksonville, FL Metro Area",110.847376
12019030600,12,27260,"Jacksonville, FL Metro Area",109.077036
12031000700,12,27260,"Jacksonville, FL Metro Area",108.005238
12031015925,12,27260,"Jacksonville, FL Metro Area",107.479273
12019030400,12,27260,"Jacksonville, FL Metro Area",107.040642
12109021405,12,27260,"Jacksonville, FL Metro Area",106.433033
12019030304,12,27260,"Jacksonville, FL Metro Area",106.008636
12031016724,12,27260,"Jacksonville, FL Metro Area",106.007051
12031015300,12,27260,"Jacksonville, FL Metro Area",105.987077
12019031400,12,27260,"Jacksonville, FL Metro Area",105.944847
12031014101,12,27260,"Jacksonville, FL Metro Area",105.877583
12031016808,12,27260,"Jacksonville, FL Metro Area",105.694665
12089050202,12,27260,"Jacksonville, FL Metro Area",105.315655
12031015502,12,27260,"Jacksonville, FL Metro Area",105.232054
12031000200,12,27260,"Jacksonville, FL Metro Area",105.190128
12031012500,12,27260,"Jacksonville, FL Metro Area",104.552568
12031014604,12,27260,"Jacksonville, FL Metro Area",104.216102
12031002701,12,27260,"Jacksonville, FL Metro Area",103.763579
12031015501,12,27260,"Jacksonville, FL Metro Area",103.577437
12031016200,12,27260,"Jacksonville, FL Metro Area",103.423035
